a accidentIndex
b sexOfDriver
c ageOfDriver
d ageOfVehicle
e accidentSeverity
f speedLimit
g didPoliceOfficerAttendSceneOfAccident

a             b   c    d    e   f    g
201506F005217 1.0 23.0 -1.0 3.0 30.0 1.0
201506F005371 3.0 30.0 -1.0 2.0 30.0 2.0
201506F005371 1.0 41.0 -1.0 2.0 30.0 2.0
201506F005386 1.0 23.0 1.0 2.0 30.0 1.0
201506F005386 1.0 30.0 5.0 2.0 30.0 1.0
201506F005671 1.0 41.0 -1.0 3.0 30.0 1.0
201506F005680 2.0 30.0 10.0 3.0 30.0 1.0
201506F005680 1.0 38.0 14.0 3.0 30.0 1.0
201506F005707 1.0 32.0 13.0 3.0 30.0 1.0
201506F005707 1.0 53.0 7.0 3.0 30.0 1.0
201506F005783 1.0 26.0 10.0 2.0 20.0 1.0
201506F005818 1.0 49.0 4.0 2.0 30.0 1.0
201506F006060 1.0 38.0 17.0 3.0 30.0 1.0
201506F006060 1.0 26.0 -1.0 3.0 30.0 1.0
201506F006065 1.0 30.0 7.0 3.0 30.0 2.0
201506F006234 1.0 54.0 11.0 3.0 30.0 1.0
201506F006234 2.0 65.0 4.0 3.0 30.0 1.0
201506F006234 1.0 25.0 12.0 3.0 30.0 1.0
201506F006270 1.0 24.0 1.0 3.0 30.0 1.0
201506F006301 1.0 49.0 11.0 3.0 30.0 1.0
201506F006301 2.0 28.0 7.0 3.0 30.0 1.0
201506F006398 1.0 62.0 13.0 3.0 30.0 1.0
201506F006398 1.0 31.0 1.0 3.0 30.0 1.0
201506F006478 2.0 27.0 1.0 3.0 30.0 1.0
201506F006478 1.0 55.0 6.0 3.0 30.0 1.0
201506F006487 1.0 33.0 -1.0 2.0 30.0 1.0
201506F006487 1.0 54.0 8.0 2.0 30.0 1.0
201506F006511 2.0 72.0 13.0 3.0 50.0 1.0
201506F006511 1.0 56.0 10.0 3.0 50.0 1.0
201506F006572 2.0 59.0 6.0 3.0 40.0 1.0
201506F006572 1.0 49.0 13.0 3.0 40.0 1.0
201506F006620 1.0 40.0 2.0 2.0 30.0 1.0
201506F006620 1.0 24.0 7.0 2.0 30.0 1.0
201506F006620 1.0 21.0 1.0 2.0 30.0 1.0
201506F006666 1.0 22.0 1.0 3.0 20.0 1.0
201506F006666 2.0 42.0 1.0 3.0 20.0 1.0
201506F006666 1.0 35.0 5.0 3.0 20.0 1.0
201506F006668 1.0 30.0 -1.0 3.0 30.0 2.0
201506F006668 2.0 58.0 2.0 3.0 30.0 2.0
201506F006845 1.0 -1.0 -1.0 2.0 30.0 2.0
201506F006845 1.0 24.0 -1.0 2.0 30.0 2.0
201506F006866 1.0 36.0 13.0 3.0 30.0 2.0
201506F007071 1.0 30.0 -1.0 2.0 30.0 1.0
201506F007090 1.0 17.0 10.0 2.0 30.0 1.0
201506F007090 1.0 23.0 7.0 2.0 30.0 1.0
201506F007183 1.0 27.0 7.0 3.0 30.0 1.0
201506F007201 1.0 21.0 10.0 3.0 30.0 1.0
201506F007201 2.0 45.0 -1.0 3.0 30.0 1.0
201506F007245 3.0 -1.0 -1.0 3.0 50.0 1.0
201506F007250 1.0 20.0 -1.0 3.0 30.0 1.0
201506F007250 2.0 58.0 9.0 3.0 30.0 1.0
201506F007309 1.0 30.0 12.0 3.0 30.0 1.0
201506F007309 1.0 42.0 19.0 3.0 30.0 1.0
201506F007309 1.0 70.0 4.0 3.0 30.0 1.0
201506F007336 2.0 24.0 9.0 3.0 30.0 1.0
201506F007336 2.0 24.0 9.0 3.0 30.0 1.0
201506F007336 1.0 50.0 6.0 3.0 30.0 1.0
201506F007462 1.0 87.0 15.0 3.0 30.0 1.0
201506F007462 3.0 -1.0 3.0 3.0 30.0 1.0
201506F007489 1.0 33.0 -1.0 3.0 30.0 1.0
201506F007489 1.0 46.0 10.0 3.0 30.0 1.0
201506F007592 1.0 13.0 -1.0 3.0 30.0 1.0
201506F007592 1.0 43.0 -1.0 3.0 30.0 1.0
201506F007605 1.0 22.0 1.0 3.0 50.0 1.0
201506F007605 1.0 38.0 2.0 3.0 50.0 1.0
201506F007717 1.0 14.0 -1.0 3.0 30.0 1.0
201506F007717 1.0 27.0 11.0 3.0 30.0 1.0
201506F007840 3.0 -1.0 -1.0 3.0 30.0 2.0
201506F007840 1.0 34.0 -1.0 3.0 30.0 2.0
201506F007912 2.0 22.0 6.0 3.0 40.0 1.0
201506F007912 1.0 46.0 1.0 3.0 40.0 1.0
201506F008096 1.0 29.0 12.0 3.0 20.0 1.0
201506F008096 1.0 60.0 8.0 3.0 20.0 1.0
201506F008230 2.0 28.0 11.0 3.0 30.0 1.0
201506F008230 2.0 59.0 1.0 3.0 30.0 1.0
201506F008230 1.0 30.0 2.0 3.0 30.0 1.0
